SUBJECT,NBR,COURSE NAME,PROF,TOTAL,A+,A,A-,B+,B,B-,C+,C,C-,D,F,W,AVG GPA
MATH,120,Discrete Math Comp Sci,"LEE, H",25,2,0,1,2,2,7,2,2,3,2,0,2,2.561
MATH,120,Discrete Math Comp Sci,"LEE, D",30,0,0,4,7,2,0,1,1,4,3,1,7,2.522
MATH,120,Discrete Math Comp Sci,"TOBAR, J",35,0,4,2,4,1,0,1,2,1,2,3,15,2.48
MATH,120,Discrete Math Comp Sci,"GONZALEZ, R",35,3,2,0,5,2,0,3,3,3,2,3,9,2.404
MATH,120,Discrete Math Comp Sci,"BERGER, K",35,3,0,4,2,2,5,2,2,1,4,3,7,2.4
MATH,120,Discrete Math Comp Sci,"SABITOVA, M",29,1,2,0,0,2,0,0,8,0,2,3,11,2
MATH,120,Discrete Math Comp Sci,"GONZALEZ, R",30,1,1,0,0,1,3,1,1,3,4,3,12,1.806
MATH,120,Discrete Math Comp Sci,"SHEN, T",28,1,0,2,1,0,1,2,1,5,5,3,7,1.786
MATH,120,Discrete Math Comp Sci,"BOTEJU, W",35,1,2,2,0,1,3,2,3,1,3,8,9,1.762
MATH,122,Precalculus,"CAI, A",25,5,3,4,1,1,2,0,2,0,0,0,0,3.472
MATH,122,Precalculus,"BROGES, A",20,2,2,1,1,3,3,0,1,0,3,0,4,2.819
MATH,122,Precalculus,"LIU, Z",23,3,1,0,3,1,4,2,0,4,0,1,4,2.689
MATH,122,Precalculus,"COLON, C",25,2,3,2,1,0,2,1,1,0,2,2,9,2.65
MATH,122,Precalculus,"SPITZ, H",30,3,3,2,1,1,1,2,1,5,2,2,7,2.5
MATH,122,Precalculus,"ARCHETTI, M",30,0,4,1,2,5,3,1,0,2,2,3,7,2.483
MATH,122,Precalculus,"OZKAN, E",33,0,3,3,3,0,0,1,1,3,2,2,14,2.467
MATH,122,Precalculus,"MARKOWITZ, E",33,2,4,2,0,3,2,2,2,3,2,3,7,2.46
MATH,122,Precalculus,"FLYNN, D",33,4,2,0,1,3,3,5,5,3,3,2,2,2.387
MATH,122,Precalculus,"JOSEPH, M",28,2,1,1,1,1,0,0,1,2,0,3,15,2.283
MATH,122,Precalculus,"TOLEDO, D",28,2,1,1,1,1,0,0,1,2,0,3,15,2.283
MATH,122,Precalculus,"BEGA, J",33,3,2,0,1,1,1,2,4,3,3,3,10,2.161
MATH,122,Precalculus,"LEE, H",18,2,0,1,0,0,0,2,4,3,3,0,3,2.16
MATH,122,Precalculus,"LEE, D",30,0,1,1,2,3,4,0,2,6,2,4,5,2.012
MATH,122,Precalculus,"YUABOV, D",34,1,3,0,1,2,0,1,1,0,1,8,16,1.7
MATH,122,Precalculus,"OZKAN, E",32,0,1,0,1,2,0,4,2,3,4,4,10,1.695
MATH,122,Precalculus,"TOLEDO, D",33,0,2,1,0,3,0,0,2,1,1,7,15,1.612
MATH,122,Precalculus,"BEGA, J",33,0,0,1,2,1,0,1,3,2,5,5,13,1.5
MATH,122,Precalculus,"DHARMA, J",31,2,0,1,1,0,2,0,1,0,0,10,12,1.318
MATH,122,Precalculus,"GANT, S",29,1,0,1,0,2,0,1,3,1,0,10,10,1.247
MATH,122,Precalculus,"DHARMA, J",33,0,1,0,0,0,2,0,5,2,0,9,13,1.2
MATH,122,Precalculus,"CLARKE, A",20,0,0,0,0,1,0,0,1,0,4,4,9,0.9
MATH,141,Calculus/Differentiation,"SULTAN, Z",15,2,2,1,1,1,2,1,0,0,0,0,4,3.37
MATH,141,Calculus/Differentiation,"WEN, C",30,6,6,2,3,2,2,1,2,0,0,2,4,3.192
MATH,141,Calculus/Differentiation,"ERLBAUM, S",30,1,5,1,4,3,2,0,0,2,3,1,7,2.805
MATH,141,Calculus/Differentiation,"FLYNN, D",30,2,4,2,2,6,2,1,4,1,2,1,3,2.793
MATH,141,Calculus/Differentiation,"KALRA, P",21,0,1,2,2,2,2,1,4,1,1,0,4,2.65
MATH,141,Calculus/Differentiation,"WEN, C",30,3,1,2,1,4,4,0,0,3,3,1,8,2.618
MATH,141,Calculus/Differentiation,"LORD, A",29,1,2,3,4,1,1,1,0,2,0,4,9,2.511
MATH,141,Calculus/Differentiation,"BROGES, A",20,2,2,2,4,0,1,0,0,1,4,2,2,2.5
MATH,141,Calculus/Differentiation,"WANG, A",30,3,2,2,2,3,0,1,2,1,3,4,7,2.348
MATH,141,Calculus/Differentiation,"LI, H",30,1,2,1,3,1,1,2,1,7,2,2,7,2.252
MATH,141,Calculus/Differentiation,"KIMATOV, M",30,4,0,3,1,1,2,2,2,1,4,4,5,2.213
MATH,141,Calculus/Differentiation,"MILLER, R",29,0,0,0,0,3,2,0,1,3,2,2,14,1.808
MATH,141,Calculus/Differentiation,"LEE, D",20,1,0,0,1,1,1,0,2,2,1,3,8,1.783
MATH,141,Calculus/Differentiation,"NICASTRO, S",29,2,1,1,0,2,0,3,3,2,4,6,5,1.75
MATH,141,Calculus/Differentiation,"NEVAREZ, B",30,0,2,0,0,2,1,3,3,2,1,7,9,1.619
MATH,141,Calculus/Differentiation,"GANT, S",30,0,0,0,1,0,1,3,1,3,5,3,12,1.471
MATH,142,Calculus/Integration,"ERLBAUM, S",35,1,6,4,3,0,5,0,1,3,1,2,9,2.858
MATH,142,Calculus/Integration,"ERLBAUM, S",35,2,6,2,2,3,7,1,2,1,1,3,5,2.763
MATH,142,Calculus/Integration,"RONG, Y",25,2,0,0,3,1,1,2,3,3,5,2,3,2.014
MATH,142,Calculus/Integration,"GANGARAM, E",30,1,0,0,0,7,2,2,5,1,2,5,5,1.948
MATH,142,Calculus/Integration,"KOROVESHI, B",28,0,1,1,0,1,2,4,6,4,2,5,2,1.773
MATH,142,Calculus/Integration,"KOROVESHI, B",30,1,1,0,1,1,0,3,3,8,0,7,5,1.632
MATH,143,Calculus-Infinite Series,"ERLBAUM, S",31,2,4,1,1,1,1,4,3,0,6,5,2,2.068
MATH,143,Calculus-Infinite Series,"WILSON, S",24,0,0,0,1,4,5,1,2,2,0,4,5,2.026
MATH,143,Calculus-Infinite Series,"BRAUN, M",28,1,3,0,3,0,0,4,2,1,4,9,1,1.659
MATH,143,Calculus-Infinite Series,"ADRIAN, M",29,1,2,0,0,1,0,1,3,2,2,6,11,1.594
MATH,143,Calculus-Infinite Series,"BRAUN, M",27,3,0,0,3,2,1,0,0,1,2,10,5,1.559
MATH,143,Calculus-Infinite Series,"BERMAN, G",20,0,1,1,0,1,1,2,1,2,0,9,1,1.3
MATH,151,Calc/Diff & Integtn,"SPITZ, H",35,1,3,1,2,0,4,1,1,5,0,7,10,1.996
MATH,151,Calc/Diff & Integtn,"SABITOVA, M",30,1,5,0,1,0,0,1,8,0,1,7,5,1.942
MATH,151,Calc/Diff & Integtn,"SPITZ, H",34,1,1,2,1,2,0,1,4,2,4,8,8,1.631
MATH,152,Calc/Integration & Infinite,"ZAKERI, S",32,2,2,2,2,2,5,2,3,1,0,5,6,2.377
MATH,152,Calc/Integration & Infinite,"MILLER, D",24,1,0,2,1,1,1,1,1,0,1,4,11,1.977
MATH,152,Calc/Integration & Infinite,"NEVAREZ, B",32,1,1,1,2,1,0,2,2,0,2,5,15,1.876
MATH,152,Calc/Integration & Infinite,"MILLER, D",25,1,1,1,0,0,1,2,0,3,1,6,9,1.569
MATH,152,Calc/Integration & Infinite,"DHARMA, J",13,0,0,0,1,0,0,0,0,2,0,4,6,0.957
MATH,202,Advanced Calculus,"SARIC, D",13,1,3,0,3,0,2,0,1,0,0,2,1,2.775
MATH,202,Advanced Calculus,"ADRIAN, M",29,4,2,1,0,3,4,3,2,3,2,2,3,2.519
MATH,223,Diff Equa/Num Meth 1,"BRAUN, M",20,1,2,2,0,2,3,0,0,3,2,5,0,2.03
MATH,231,Linear Algebra I,"ZAKERI, S",32,4,5,2,4,4,3,0,5,2,0,1,2,3.003
MATH,231,Linear Algebra I,"JIANG, Y",28,1,2,1,6,1,0,1,1,2,3,2,7,2.46
MATH,231,Linear Algebra I,"JOSEPH, M",30,1,2,2,2,2,2,0,4,3,0,3,9,2.405
MATH,231,Linear Algebra I,"JOSEPH, M",30,0,1,1,2,2,5,2,1,3,1,3,9,2.214
MATH,231,Linear Algebra I,"JIANG, Y",28,1,3,0,2,0,2,4,1,1,1,4,8,2.205
MATH,231,Linear Algebra I,"VLAMIS, N",30,1,1,0,0,1,2,0,7,5,0,3,10,1.945
MATH,231,Linear Algebra I,"RONG, Y",22,0,0,0,0,3,0,4,4,1,4,1,5,1.876
MATH,231,Linear Algebra I,"PANDAZIS, M",32,1,0,0,2,2,2,3,2,3,7,2,8,1.875
MATH,231,Linear Algebra I,"KAHAN, S",27,1,0,0,0,3,0,0,0,0,0,4,19,1.625
MATH,231,Linear Algebra I,"KAHAN, S",30,1,0,1,0,1,2,1,1,2,1,10,10,1.24
MATH,232,Linear Algebra II,"LEE, D",23,0,1,0,0,0,1,2,1,2,0,2,14,1.856
MATH,241,Intro Prob & Math Stat,"TERILLA, J",25,1,14,0,0,5,3,0,1,0,0,0,1,3.546
MATH,241,Intro Prob & Math Stat,"TERILLA, J",25,2,5,1,3,5,0,2,2,0,0,0,5,3.26
MATH,241,Intro Prob & Math Stat,"GANGARAM, E",25,2,2,3,1,1,0,0,3,1,2,1,9,2.694
MATH,241,Intro Prob & Math Stat,"PANDAZIS, M",31,0,2,1,4,3,2,0,5,2,2,2,7,2.378
MATH,241,Intro Prob & Math Stat,"GANGARAM, E",25,1,1,4,0,1,1,1,3,0,0,4,9,2.3
MATH,241,Intro Prob & Math Stat,"LIU, Z",30,3,5,0,3,1,0,0,2,1,0,7,7,2.3
MATH,241,Intro Prob & Math Stat,"WANG, A",30,3,2,2,3,0,0,2,3,1,1,9,4,1.946
MATH,241,Intro Prob & Math Stat,"WANG, A",24,2,1,0,1,2,0,0,3,1,0,6,8,1.813
MATH,241,Intro Prob & Math Stat,"KOROVESHI, B",26,0,0,1,0,1,0,2,2,6,0,5,9,1.5
MATH,241,Intro Prob & Math Stat,"KOROVESHI, B",26,0,0,1,0,0,0,2,1,6,0,5,11,1.367
MATH,242,Methods Of Math Statistics,"SISSER, F",30,1,2,3,4,4,6,0,1,3,0,3,3,2.652
MATH,242,Methods Of Math Statistics,"SISSER, F",30,3,2,0,2,6,2,2,3,3,0,4,3,2.433
MATH,245,Mathematical Models,"OVCHINNIKOV, A",23,2,6,3,5,1,3,1,0,0,0,1,1,3.318
MATH,247,Lin Prog & Game Thy,"SISSER, F",30,2,9,1,3,3,2,1,1,1,0,1,6,3.25
MATH,120,Discrete Math Comp Sci,"GOLDMAN, S",35,0,9,6,2,3,2,9,0,1,2,0,1,3.047
MATH,120,Discrete Math Comp Sci,"WANG, A",35,4,2,1,2,0,3,5,2,3,2,1,10,2.6
MATH,120,Discrete Math Comp Sci,"JOANIDHI, Z",30,0,8,1,0,1,0,1,5,0,0,6,6,2.318
MATH,120,Discrete Math Comp Sci,"BERGER, K",35,0,1,0,2,6,3,2,2,2,4,2,11,2.196
MATH,120,Discrete Math Comp Sci,"BOTEJU, W",36,2,5,1,1,1,1,5,3,4,2,6,5,2.161
MATH,120,Discrete Math Comp Sci,"HANUSA, C",30,2,2,2,1,1,2,3,0,1,2,6,7,2.077
MATH,120,Discrete Math Comp Sci,"BOTEJU, W",35,1,1,2,2,4,2,0,2,1,5,6,8,1.927
MATH,120,Discrete Math Comp Sci,"BERGER, K",36,0,1,0,1,3,2,1,5,2,4,6,10,1.656
MATH,120,Discrete Math Comp Sci,"ADRIAN, M",37,0,2,0,1,1,3,0,4,3,7,8,8,1.466
MATH,122,Precalculus,"CAI, A",23,1,1,5,0,0,2,1,1,0,0,0,0,3.291
MATH,122,Precalculus,"CLEARY, J",38,6,11,3,1,2,0,1,2,1,5,0,4,3.169
MATH,122,Precalculus,"DHARMA, J",30,1,0,1,0,0,3,0,0,0,0,0,16,3.16
MATH,122,Precalculus,"LEE, H",35,5,1,2,4,3,4,2,0,3,0,0,11,3.088
MATH,122,Precalculus,"ARCHETTI, M",37,10,3,1,2,6,0,1,3,2,1,2,5,3
MATH,122,Precalculus,"CLEARY, J",35,3,3,4,2,2,6,2,3,0,4,0,4,2.834
MATH,122,Precalculus,"KALRA, P",20,3,1,0,0,0,4,3,2,0,0,1,6,2.693
MATH,122,Precalculus,"ISLAM, M",20,1,0,4,1,2,0,1,2,0,0,2,4,2.646
MATH,122,Precalculus,"OZKAN, E",10,0,3,0,0,0,0,3,0,0,2,0,2,2.613
MATH,122,Precalculus,"BROGES, A",21,0,4,1,0,6,1,1,1,0,1,3,1,2.539
MATH,122,Precalculus,"SPITZ, H",35,1,4,3,2,2,2,0,0,0,5,3,11,2.459
MATH,122,Precalculus,"LI, H",37,5,2,1,1,1,4,2,0,1,2,5,11,2.379
MATH,122,Precalculus,"MARKOWITZ, E",40,0,3,4,3,4,3,1,3,2,4,4,8,2.339
MATH,122,Precalculus,"FLYNN, D",35,1,3,3,2,4,2,1,3,5,6,3,2,2.239
MATH,122,Precalculus,"COLON, C",37,2,1,0,0,1,0,2,1,3,4,0,19,2.193
MATH,122,Precalculus,"YUABOV, D",37,3,2,2,0,0,3,3,1,3,2,5,12,2.146
MATH,122,Precalculus,"MARKOWITZ, E",37,1,3,0,4,3,1,0,3,3,7,3,4,2.107
MATH,122,Precalculus,"JOSEPH, M",35,0,1,0,0,3,3,2,2,5,1,3,12,1.96
MATH,122,Precalculus,"SHEN, T",30,0,0,0,2,1,2,3,2,2,5,2,7,1.805
MATH,122,Precalculus,"JOSEPH, M",37,0,1,1,1,3,2,1,2,4,3,5,13,1.804
MATH,122,Precalculus,"GANT, S",35,0,2,2,0,1,0,0,2,1,4,4,14,1.756
MATH,122,Precalculus,"SPITZ, H",35,1,2,1,2,5,0,3,1,1,4,10,5,1.73
MATH,122,Precalculus,"TOLEDO, D",37,0,0,0,0,0,2,2,4,1,0,7,15,1.231
MATH,122,Precalculus,"TOLEDO, D",37,0,0,0,0,0,1,0,1,2,6,11,10,0.671
MATH,141,Calculus/Differentiation,"BROGES, A",19,5,3,1,0,1,1,0,0,0,1,1,3,3.262
MATH,141,Calculus/Differentiation,"KALRA, P",20,2,3,3,0,0,1,2,2,0,0,1,5,3.029
MATH,141,Calculus/Differentiation,"FLYNN, D",35,2,6,3,4,2,3,3,2,2,1,1,5,2.955
MATH,141,Calculus/Differentiation,"GOLDMAN, S",30,1,4,3,4,3,1,2,3,3,2,2,2,2.632
MATH,141,Calculus/Differentiation,"GONZALEZ, R",35,3,1,2,6,2,1,4,2,2,0,4,6,2.537
MATH,141,Calculus/Differentiation,"KIMATOV, M",38,7,3,2,0,2,2,2,1,3,4,5,5,2.403
MATH,141,Calculus/Differentiation,"WANG, A",34,3,1,1,5,2,4,2,2,0,2,5,7,2.356
MATH,141,Calculus/Differentiation,"NICASTRO, S",38,2,0,3,4,1,4,3,2,3,5,2,9,2.314
MATH,141,Calculus/Differentiation,"ERLBAUM, S",35,1,5,2,1,0,3,0,1,3,1,6,11,2.213
MATH,141,Calculus/Differentiation,"ERLBAUM, S",34,0,2,0,1,5,3,3,4,1,5,5,5,1.931
MATH,141,Calculus/Differentiation,"ADRIAN, M",37,1,2,1,1,4,3,0,2,0,2,8,9,1.879
MATH,141,Calculus/Differentiation,"RALESCU, S",35,2,0,2,0,0,2,0,4,3,0,6,15,1.784
MATH,141,Calculus/Differentiation,"TOBAR, J",40,1,3,0,1,1,1,2,3,0,3,7,17,1.755
MATH,141,Calculus/Differentiation,"DON, E",35,0,2,0,2,2,0,0,3,0,4,6,13,1.611
MATH,142,Calculus/Integration,"MITRA, S",28,1,3,2,5,6,0,1,3,0,0,0,6,3.152
MATH,142,Calculus/Integration,"WEN, C",29,10,1,2,2,2,0,2,2,0,2,6,0,2.572
MATH,142,Calculus/Integration,"WEN, C",25,5,1,1,1,1,1,4,1,1,1,4,4,2.41
MATH,142,Calculus/Integration,"RONG, Y",21,2,1,1,0,0,2,3,4,0,3,1,4,2.294
MATH,142,Calculus/Integration,"RICCARDO, M",30,2,0,1,1,3,6,1,3,3,3,2,4,2.264
MATH,142,Calculus/Integration,"ISLAM, M",11,1,0,1,0,1,1,0,0,1,0,3,3,1.888
MATH,142,Calculus/Integration,"SULTAN, A",28,0,0,1,0,1,0,5,2,1,0,6,12,1.494
MATH,142,Calculus/Integration,"RONG, Y",22,0,0,0,0,1,1,3,1,1,5,3,7,1.42
MATH,143,Calculus-Infinite Series,"LIU, Z",22,3,1,2,0,1,3,1,1,2,0,1,7,2.813
MATH,143,Calculus-Infinite Series,"ERLBAUM, S",30,0,3,1,0,4,3,4,2,3,2,3,4,2.244
MATH,143,Calculus-Infinite Series,"ERLBAUM, S",30,2,1,1,3,1,4,1,3,3,3,4,4,2.146
MATH,143,Calculus-Infinite Series,"BRAUN, M",27,1,0,2,1,0,1,1,0,6,2,5,8,1.679
MATH,143,Calculus-Infinite Series,"BRAUN, M",28,2,1,0,1,0,1,1,0,1,1,9,11,1.353
MATH,151,Calc/Diff & Integtn,"PANDAZIS, M",25,2,0,0,1,1,0,0,5,0,5,0,9,2.093
MATH,151,Calc/Diff & Integtn,"DON, E",31,2,0,1,2,0,1,0,4,0,4,4,10,1.833
MATH,151,Calc/Diff & Integtn,"KAHAN, S",30,0,0,0,1,1,0,1,1,0,4,3,18,1.327
MATH,152,Calc/Integration & Infinite,"TERILLA, J",25,4,5,2,3,1,0,0,2,0,1,3,4,2.919
MATH,152,Calc/Integration & Infinite,"BERMAN, G",30,1,5,1,0,0,0,1,0,1,1,3,16,2.515
MATH,152,Calc/Integration & Infinite,"KOROVESHI, B",26,0,1,2,0,1,1,3,3,0,0,7,8,1.667
MATH,152,Calc/Integration & Infinite,"PORCHETTA, E",20,2,0,0,0,0,2,0,2,2,0,5,7,1.6
MATH,152,Calc/Integration & Infinite,"KAHAN, S",28,0,1,0,1,0,0,1,1,0,1,8,15,0.969
MATH,202,Advanced Calculus,"SARIC, D",25,3,7,2,1,0,3,3,1,1,0,0,4,3.305
MATH,209,Elementary Set Theory,"KLOSIN, K",14,0,2,1,0,0,1,4,0,0,3,1,2,2.217
MATH,220,Discrete Mathematics,"GANGARAM, E",21,1,5,0,4,4,1,1,1,0,1,0,3,3.178
MATH,220,Discrete Mathematics,"MILLER, D",16,2,2,3,1,0,0,0,0,0,1,1,6,3.14
MATH,223,Diff Equa/Num Meth 1,"JOSEPH, M",20,0,4,4,0,1,4,0,2,2,1,1,1,2.789
MATH,223,Diff Equa/Num Meth 1,"BRAUN, M",28,1,2,3,3,4,4,2,1,3,1,2,2,2.635
MATH,231,Linear Algebra I,"SABITOVA, M",19,1,3,0,1,0,0,1,1,0,0,0,12,3.371
MATH,231,Linear Algebra I,"JIANG, Y",30,2,4,4,2,2,0,1,2,0,1,1,11,3.089
MATH,231,Linear Algebra I,"ZAKERI, S",30,4,5,1,1,4,3,2,4,2,1,1,2,2.861
MATH,231,Linear Algebra I,"JOSEPH, M",30,1,3,1,2,4,3,1,1,3,0,5,6,2.325
MATH,231,Linear Algebra I,"PANDAZIS, M",30,1,3,0,1,1,1,1,3,1,3,2,13,2.235
MATH,231,Linear Algebra I,"KOROVESHI, B",26,1,3,2,1,3,2,0,1,2,0,6,5,2.214
MATH,231,Linear Algebra I,"DHARMA, J",27,3,1,0,1,1,0,0,1,0,0,4,16,2.209
MATH,231,Linear Algebra I,"BERMAN, G",21,0,2,0,2,0,2,0,1,0,0,3,11,2.2
MATH,231,Linear Algebra I,"MILLER, D",24,0,1,2,1,3,1,1,1,2,2,3,7,2.124
MATH,231,Linear Algebra I,"KOROVESHI, B",24,0,0,1,0,0,1,3,3,5,0,2,9,1.853
MATH,231,Linear Algebra I,"VLAMIS, N",23,1,0,0,2,0,2,1,3,2,0,6,5,1.629
MATH,241,Intro Prob & Math Stat,"MITRA, S",25,0,3,2,4,2,4,1,0,0,0,0,8,3.231
MATH,241,Intro Prob & Math Stat,"MILLER, D",25,0,4,1,2,1,0,1,2,1,1,0,12,2.946
MATH,241,Intro Prob & Math Stat,"LIU, Z",35,2,3,2,4,2,4,3,1,2,0,1,11,2.904
MATH,241,Intro Prob & Math Stat,"SISSER, F",36,1,2,1,5,4,6,0,2,2,0,4,9,2.511
MATH,241,Intro Prob & Math Stat,"SISSER, F",36,3,2,4,2,0,6,0,4,7,0,3,4,2.5
MATH,241,Intro Prob & Math Stat,"GANGARAM, E",28,3,2,1,2,2,3,0,2,2,2,3,6,2.445
MATH,241,Intro Prob & Math Stat,"MILLER, D",25,1,2,2,1,0,1,1,1,0,2,3,11,2.264
MATH,241,Intro Prob & Math Stat,"NEVAREZ, B",36,2,3,3,0,1,1,4,4,4,4,4,6,2.16
MATH,241,Intro Prob & Math Stat,"GANGARAM, E",36,0,1,0,0,3,1,2,3,2,1,10,13,1.335
MATH,242,Methods Of Math Statistics,"SISSER, F",36,7,2,1,0,0,4,0,3,4,0,8,7,2.183
MATH,247,Lin Prog & Game Thy,"KLOSIN, K",36,4,16,0,1,1,4,2,2,0,0,2,4,3.303
MATH,310,Elementary Real Analysis,"WILSON, S",24,0,5,3,0,4,2,2,2,1,0,0,5,3.095